CIK,MANAGER_NAME,NOTES
0000102909,VANGUARD GROUP INC,"BUG FIX (2026-08-15): this is the CIK that was dominant across the ENTIRE 2013-2025 era (verified with real FILINGMANAGER_NAME/VALUE data in 2015q1: $1.4B; 2019q1: $2.2B; 2023q4: $8.1T post VALUE-unit-change). The original curation only checked the single most recent (2026) quarter and used ONLY the newer CIKs below, which silently failed to exclude Vanguard for ~13 of the ~13.5-year backtest window. Kept for the pre-transition era."
0002100119,VANGUARD CAPITAL MANAGEMENT LLC,"Dominant Vanguard filer as of 2026 (~$8.0T in the 2026 Q1-Q2 sample) -- but does NOT appear at all in 2013-2025 data (verified against 2013q2/2015q1/2019q1/2023q4). A newly issued CIK (number format alone suggests very recent SEC registration) -- Vanguard's 13F filing structure was reorganized close to 2026. Kept for the post-transition era; see 0000102909 above for the era this doesn't cover."
0002100121,VANGUARD PORTFOLIO MANAGEMENT LLC,"Second dominant Vanguard filer as of 2026 (~$1.9T). Same 2026-only caveat as 0002100119 above."
0000933478,VANGUARD FIDUCIARY TRUST CO,"Vanguard's retirement-plan trustee arm. Present across the observed window (seen in 2014q3, 2016q1, 2017q3, 2020q3, 2023q4, 2026) with material value in later years (~$396B in 2026); not material or absent in some individual quarters (e.g. 2019q1) -- harmless to list even in quarters where it holds nothing."
0001811242,Vanguard Global Advisers LLC,"First appears ~2020q3 onward (not present 2013-2019 in sampled quarters); ~$187B in 2026. Included for the era it's active in -- listing it for earlier quarters where it doesn't exist yet is harmless (nothing to exclude)."
0001364742,BlackRock Inc.,"BUG FIX (2026-08-15): dominant BlackRock filer from ~2019 through at least 2023 (verified: 2019q1 $2.0B; 2023q4 $3.5T post unit-change), and present (smaller) as early as 2014q3. The original curation only checked the 2026 quarter and used only the CIK below, which silently failed to exclude BlackRock for most of the backtest window -- the single largest passive-manager gap found in the whole exclusion list."
0002012383,"BlackRock, Inc.","Dominant BlackRock filer as of 2026 (~$5.7T) -- a distinct, newly issued CIK (note the comma in the legal name, differing from 0001364742's ""BlackRock Inc."") that does not appear before 2026 in sampled quarters. BlackRock's filing structure was reorganized close to 2026, same as Vanguard's. Kept for the post-transition era."
0000913414,"BlackRock Institutional Trust Company, N.A.","Materially large BlackRock subsidiary filer in the earlier era (2014-2016 sampled quarters show it alongside dozens of smaller BlackRock regional/international entities); manages many pooled/index trust funds. Included as one of the few BlackRock subsidiaries with real materiality before 0001364742 became dominant; the ~25 other BlackRock-named international subsidiaries seen in the same scans (Japan, Taiwan, Korea, Netherlands, Luxembourg, etc.) were not individually verified for materiality and are NOT included -- a disclosed, deliberate scope limit, not an oversight."
0001006249,BlackRock Fund Advisors,"Materially large BlackRock subsidiary filer in the earlier era (manages iShares ETFs -- BlackRock's flagship passive/index product line). Same inclusion rationale as 0000913414 above."
0000093751,STATE STREET CORP,"Stable, dominant single CIK across the ENTIRE observed window (2015q1 $1.0B; 2019q1 $1.1B; 2023q4 $1.8T; 2026 $2.9T) -- no transition found, unlike Vanguard/BlackRock. SPDR ETF family rolls up under this single filer; no separate SSGA/SPDR-named filer found in any sampled quarter (2013q2, 2015q1, 2019q1, 2023q4, 2026)."
0001214717,"GEODE CAPITAL MANAGEMENT, LLC","Stable, dominant single CIK across the entire observed window (2015q1 $168M; 2019q1 $647M; 2023q4 $840B; 2026 $1.6T) -- no transition found. Fidelity's dedicated index-fund sub-adviser; FMR LLC (CIK 0000315066, Fidelity's broader active+passive complex) is deliberately NOT excluded, since that would remove genuine active-manager signal, not just mechanical index flows."
0000073124,NORTHERN TRUST CORP,"Stable, dominant single CIK across the entire observed window (2015q1 $331M; 2019q1 $357M; 2023q4 $516B; 2026 $757B) -- no transition found."
0000884546,CHARLES SCHWAB INVESTMENT MANAGEMENT INC,"Stable, dominant single CIK across the entire observed window (2015q1 $67M; 2019q1 $131M; 2023q4 $349B; 2026 $654B) -- no transition found."
0001501902,"Charles Schwab Investment Advisory, Inc.","Stable secondary Schwab CIK across the entire observed window (2015q1 $3.4M; 2019q1 $53M; 2023q4 $63B) -- smaller than 0000884546 but consistently material enough to include."
